WAR_ENSLAVE;$ORDER$War of $FIRST$ Enslavement;$ORDER$$FIRST$ guerre d'aggression;$ORDER$$FIRST$er Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;$ORDER$Guerra de $FIRST$ agresiÃ³n;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hÃ¡borÃº;$ORDER$$FIRST$-$SECOND$ vÃ¡lka;;;;;;x;;;;;;;;;;;;;;;;;;
enforce_slavery;Create Slave State;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
enforce_slavery_desc;Force the selected country to become a slave state and vassal, in which industry and government will be controlled and regulated based on the needs of the slave economy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
NEWSLAVESTATE;The New Slave State;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
maroon;Maroon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
nordic;Nordic;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
early_archaeology;Early Archaeology;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
german;German;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
african_minor;African;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;
early_archaeology_desc;Archaeology is the study of human activity, primarily through the recovery and analysis of the material culture and environmental data that they have left behind, which includes artifacts, architecture, biofacts and cultural landscapes (the archaeological record). Study of human antiquity date back in the days of the Renaissance, but in the 19th century, Archaeology evolved to a real science. Archaeologists began to investigate various areas around the world, with the study of ancient Aegean civilization being stimulated by the excavations of Heinrich Schliemann at Troy, and of Arthur Evans at Crete, whilst John Lloyd Stephens was a pivotal figure in the rediscovery of Maya civilization throughout Central America. However, the methodologies employed by these archaeologists were highly flawed by the standards of the 20th century.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
modern_archaeology;Modern Archaeology;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
